Date,Open,High,Low,Close,Volume,Market Cap,EOD_Return
2018-01-01,"14,112.20","14,112.20","13,154.70","13,657.20","10,291,200,000","229,119,155,396",-0.03526
2018-01-02,"13,625.00","15,444.60","13,163.60","14,982.10","16,846,600,192","251,377,913,955",0.09701
2018-01-03,"14,978.20","15,572.80","14,844.50","15,201.00","16,871,900,160","255,080,562,912",0.01461
2018-01-04,"15,270.70","15,739.70","14,522.20","15,599.20","21,783,199,744","261,795,321,110",0.0262
2018-01-05,"15,477.20","17,705.20","15,202.80","17,429.50","23,840,899,072","292,544,135,538",0.11733
2018-01-06,"17,462.10","17,712.40","16,764.60","17,527.00","18,314,600,448","294,217,423,675",0.00559
2018-01-07,"17,527.30","17,579.60","16,087.70","16,477.60","15,866,000,384","276,634,797,271",-0.05987
2018-01-08,"16,476.20","16,537.90","14,208.20","15,170.10","18,413,899,776","254,715,263,101",-0.07935
2018-01-09,"15,123.70","15,497.50","14,424.00","14,595.40","16,659,999,744","245,095,808,695",-0.03788
2018-01-10,"14,588.50","14,973.30","13,691.20","14,973.30","18,500,800,512","251,472,635,522",0.02589
2018-01-11,"14,968.20","15,018.80","13,105.90","13,405.80","16,534,099,968","225,178,724,050",-0.10469
2018-01-12,"13,453.90","14,229.90","13,158.10","13,980.60","12,065,699,840","234,865,160,377",0.04288
2018-01-13,"13,952.40","14,659.50","13,952.40","14,360.20","12,763,599,872","241,268,592,240",0.02715
2018-01-14,"14,370.80","14,511.80","13,268.00","13,772.00","11,084,099,584","231,413,491,364",-0.04096
2018-01-15,"13,767.30","14,445.50","13,641.70","13,819.80","12,750,799,872","232,242,775,485",0.00347
2018-01-16,"13,836.10","13,843.10","10,194.90","11,490.50","18,853,799,936","193,121,120,762",-0.16855
2018-01-17,"11,431.10","11,678.00","9,402.29","11,188.60","18,830,600,192","188,070,430,523",-0.02627
2018-01-18,"11,198.80","12,107.30","10,942.50","11,474.90","15,020,399,616","192,907,550,324",0.02559
2018-01-19,"11,429.80","11,992.80","11,172.10","11,607.40","10,740,400,128","195,158,837,709",0.01155
2018-01-20,"11,656.20","13,103.00","11,656.20","12,899.20","11,801,700,352","216,907,619,830",0.11129
2018-01-21,"12,889.20","12,895.90","11,288.20","11,600.10","9,935,179,776","195,089,460,991",-0.10071
2018-01-22,"11,633.10","11,966.40","10,240.20","10,931.40","10,537,400,320","183,866,421,285",-0.05765
2018-01-23,"10,944.50","11,377.60","10,129.70","10,868.40","9,660,609,536","182,830,257,191",-0.00576
2018-01-24,"10,903.40","11,501.40","10,639.80","11,359.40","9,940,989,952","191,115,225,673",0.04518
2018-01-25,"11,421.70","11,785.70","11,057.40","11,259.40","8,873,169,920","189,455,303,273",-0.0088
2018-01-26,"11,256.00","11,656.70","10,470.30","11,171.40","9,746,199,552","187,995,804,677",-0.00782
2018-01-27,"11,174.90","11,614.90","10,989.20","11,440.70","7,583,269,888","192,550,550,498",0.02411
2018-01-28,"11,475.30","12,040.30","11,475.30","11,786.30","8,350,360,064","198,389,948,175",0.03021
2018-01-29,"11,755.50","11,875.60","11,179.20","11,296.40","7,107,359,744","190,164,444,830",-0.04157
2018-01-30,"11,306.80","11,307.20","10,036.20","10,106.30","8,637,859,840","170,151,556,678",-0.10535
2018-01-31,"10,108.20","10,381.60","9,777.42","10,221.10","8,041,160,192","172,099,559,942",0.01136
